article,unique_words
Modified_rye_bread_helps_patie.txt,57
Do_we_need_to_reform_internati.txt,58
Emotional_expression_in_music_.txt,58
Diving_deeper_into_development.txt,58
Sun's_coronal_mass_ejection_re.txt,58
The_brain's_favorite_type_of_m.txt,58
Large_coronal_hole_near_the_su.txt,59
New_disease-carrying_mosquito_.txt,59
Alcoholic_beverages_are_freque.txt,59
"At_8_months,_babies_already_kn.txt",59
Vioxx_Side-effects:_Possible_E.txt,59
New_biosynthetic_pathway_uniqu.txt,59
Study_reveals_privacy_issues_i.txt,60
Researchers_identify_potential.txt,60
Convincing_evidence_that_type_.txt,60
Urban_experimentation_can_help.txt,60
Have_asthma_and_a_pet?_Re-homi.txt,61
Pooled_analysis_confirms_vitam.txt,61
Artificial_intelligence-based_.txt,61
Internet_gaming_disorder_in_co.txt,61
Learning_a_new_language_change.txt,61
Social_isolation_stresses_rode.txt,61
Osteoporosis_treatment_may_als.txt,61
PTSD_linked_with_increased_Lup.txt,61
Sex_and_height_might_influence.txt,61
Pregabalin_may_lessen_pain_fro.txt,61
Visual_facilitation_around_han.txt,62
Seasonality_of_hair_loss______.txt,62
Why_thick_skin_develops_on_our.txt,62
Normal_variations_in_thyroid_f.txt,62
Changing_views_on_atherosclero.txt,62
Cancer_treatment_may_inhibit_i.txt,62
Neptune_could_not_have_knocked.txt,63
Gastrointestinal_disorders_inv.txt,63
Zika_in_high_resolution_______.txt,63
Fenofibrate_may_reduce_heart_d.txt,63
Tourist's_trust_is_based_on_so.txt,63
Brain_activity_predicts_fear_o.txt,64
Is_bedtime_media_use_detriment.txt,64
NASA's_SDO_shows_a_little_'rai.txt,64
An_easier_way_to_go_veggie:_Vi.txt,64
Analysis_examines_migraine's_l.txt,64
How_common_is_food_insecurity_.txt,64
Peat_fires_in_Sumatra_strength.txt,64
Can_individuals'_walking_pace_.txt,64
Drug_study_shows_clubbers_have.txt,65
"Flexible_content_delivery,_stu.txt",65
Treating_wastewater_with_ozone.txt,66
How_to_improve_the_surgery_bac.txt,66
"Men_perceived_as_younger,_more.txt",66
Increased_frequency_of_eating_.txt,66
Quantum_magic_squares_________.txt,66
Specific_bacteria_may_change_t.txt,66
The_language_of_invention:_Mos.txt,67
Antiretroviral_therapy_can't_c.txt,67
Vitamin_D_deficiency_in_pneumo.txt,67
The_role_of_adult_playfulness_.txt,67
Novel_anti-craving_mechanism_d.txt,67
Aspirin_before_a_diagnosis_may.txt,67
Does_good_attendance_equal_goo.txt,68
Novel_blood-based_protein_sign.txt,68
Microglia_are_key_defenders_ag.txt,68
Chronic_cocaine_use_modifies_g.txt,68
Nanotubes_could_pose_health_ri.txt,68
Too_much_of_a_good_thing?_High.txt,68
Genetic_study_of_impulsiveness.txt,68
Intergenerational_transmission.txt,68
Signals_from_muscle_protect_fr.txt,69
Veganism:_Vitamin_B12_is_well_.txt,69
Do_school-based_interventions_.txt,69
Secondary_cratering_on_Earth:_.txt,69
Estrogen_improves_Parkinson's_.txt,69
Vitamin_E_may_increase_or_decr.txt,69
Hot_flushes_and_night_sweats_l.txt,69
Have_restless_legs_syndrome_du.txt,69
New_Combination_Therapy_Looks_.txt,70
Hair_forensics_could_yield_fal.txt,70
New_study_sheds_light_on_how_X.txt,70
"Despite_new_information,_Pluto.txt",70
How_the_sun_caused_an_aurora_t.txt,70
Applying_artificial_intelligen.txt,70
Food_insecurity_linked_with_bi.txt,70
Blocking_dopamine_weakens_effe.txt,70
Transferrin_identified_as_pote.txt,70
N-type_conductive_tin_sulfide_.txt,70
How_the_brain_balances_emotion.txt,71
Gastric_medications_increase_r.txt,71
African_dust_transport_across_.txt,71
Certain_alternative_therapies_.txt,71
Scheduled_feeding_improves_neu.txt,71
Protein_nutrition_for_cells_an.txt,71
The_craters_on_Earth__________.txt,71
Why_stress_doesn't_always_caus.txt,71
How_experiencing_traumatic_str.txt,71
Diversity_of_genetic_changes_t.txt,71
Knock-Out_Drugs:_Narrow_Window.txt,72
Risk_of_neural_tube_defects_hi.txt,72
Exercise_may_protect_bone_heal.txt,72
Vitamin_D_levels_lower_in_Afri.txt,72
MRI_frequently_underestimates_.txt,72
Oil_spill_has_long-term_immuno.txt,72
Preventing_psoriasis_with_vani.txt,72
Guidance_for_patients_with_IBD.txt,73
Transmission_risk_of_familial_.txt,73
"Mouse_study_finds_age,_disease.txt",73
Topical_antibiotic_triggers_un.txt,73
Predicting_epilepsy_from_neura.txt,73
"Has_HDL,_the_'good'_cholestero.txt",73
Therapy_dogs_may_help_lower_em.txt,73
Binge_drinking_accelerates_alc.txt,73
Visible_public_health_leadersh.txt,74
Virtual_reality_makes_empathy_.txt,74
Restless_legs_syndrome_may_sig.txt,74
Toward_a_safe_antiobesity_drug.txt,74
Vitamin_D_could_lower_the_risk.txt,74
Same_beat_set_to_different_tun.txt,74
Patients_with_blood_cancer_pre.txt,74
Common_allergy_medication_wors.txt,75
Bird_skull_evolution_slowed_af.txt,75
Mindfulness_program_may_benefi.txt,75
Ultrasound_screening_may_be_li.txt,75
"Healthy_diet_before,_during_pr.txt",75
Marine_mammals_and_sea_turtles.txt,75
Schools_have_critical_role_to_.txt,75
"Meet_Siamraptor_suwati,_a_new_.txt",76
Fungus_from_the_intestinal_muc.txt,76
Unmasking_the_secrets_of_Mercu.txt,76
Regular_Use_Of_Selective_COX-2.txt,76
Mild_thyroid_dysfunction_affec.txt,76
SARS-CoV-2_variant_detected_in.txt,76
Chaotic_orbit_of_Comet_Halley_.txt,76
Intelligent_transaction_tax_co.txt,76
Celecoxib_Can_Adversely_Affect.txt,76
Taking_proton_pump_inhibitors_.txt,76
NYS_can_achieve_2050_carbon_go.txt,76
Sexual_satisfaction:_Treating_.txt,76
DNA-based_nanotechnology_stimu.txt,77
Anabolic_steroids_may_affect_f.txt,77
Study_links_eating_disorders_w.txt,77
Computer_experts_identify_four.txt,77
Impact_of_COVID-19_infection_o.txt,77
Avoiding_meat_during_pregnancy.txt,77
Coronavirus_breakthrough:_Prot.txt,77
Brainstem_protein_mediates_exe.txt,77
Psychological_benefits_for_kid.txt,77
Researchers_create_novel_photo.txt,77
Call_for_breastfeeding_guidanc.txt,78
The_brain's_facial_recognition.txt,78
Soil_on_moon_and_Mars_likely_t.txt,78
Psychostimulants_play_a_major_.txt,78
Physicists_develop_world's_bes.txt,78
Nearly_one_in_five_parents_of_.txt,78
New_evidence_of_common_gastric.txt,78
Analysts'_stock_recommendation.txt,78
Elusive_El_Niño_arrives:_Forec.txt,78
Eating_at_night_could_increase.txt,78
"Porous,_ultralow-temperature_s.txt",78
Monthly_high-dose_vitamin_D_su.txt,79
Fatality_Rates_Among_Young_Dru.txt,79
Deciding_on_a_purchase:_Does_i.txt,79
New_gene_mutation_associated_w.txt,79
Blood_test_to_screen_for_fatal.txt,79
More_women_sexually_active_int.txt,79
It_takes_more_than_one_mutant_.txt,79
Cannabis_use_appears_to_encour.txt,79
People_who_have_trouble_sleepi.txt,79
Principles_to_enhance_research.txt,79
New_research_finds_more_intens.txt,79
"First_secondhand_smoke,_now_se.txt",79
Unsilencing_silenced_genes_by_.txt,80
Can_vitamin_B_supplements_help.txt,80
Motherhood_overrides_the_brain.txt,80
Brexit_will_affect_the_UK's_ab.txt,80
A_distinctive_inflammatory_sig.txt,80
"Crows_don't_digest_prions,_may.txt",80
Sexual_function_problems_occur.txt,80
CPAP_use_for_sleep_apnea_does_.txt,80
Weak_equivalence_principle_vio.txt,80
"Link_between_sleep,_cognitive_.txt",80
Family_history_of_diabetes_lin.txt,80
Novel_mechanism_for_invasion_o.txt,80
Vitamin_E_May_Increase_Tubercu.txt,81
Study_links_severe_restless_le.txt,81
A_flip_switch_for_binge-eating.txt,81
Predicting_protein-protein_int.txt,81
Human_disturbance_is_the_most_.txt,81
New_inhibitor_against_key_leuk.txt,81
Exercise_can_reduce_artery_sti.txt,81
Researchers_discover_connectio.txt,81
Bone_mineral_density_decreases.txt,81
RHESSI_will_use_Venus_transit_.txt,81
Iron_may_not_improve_fertility.txt,81
Enabling_longer_space_missions.txt,81
Risky_decision_making_on_brain.txt,81
Immunological_scarring_from_ce.txt,81
More_mammals_are_being_struck_.txt,81
NASA_sees_sun_emit_a_mid-level.txt,81
Does_physician_age_influence_t.txt,82
A_serious_mental_disorder_in_o.txt,82
Inflammatory_bowel_disease_lin.txt,82
Preoperative_shear_wave_elasto.txt,82
California's_stricter_vaccine_.txt,82
Deconstructing_Schrödinger's_c.txt,82
"With_or_without_allergies,_out.txt",82
Researchers_simulate_SARS-COV-.txt,82
Fiber_consumption_linked_to_lo.txt,82
Brain_reveals_the_risk_for_dev.txt,82
Mutation_in_APC2_gene_causes_S.txt,82
"After_cooking,_biofortified_co.txt",82
No_link_found_between_MMR_vacc.txt,83
New_function_of_the_chromosoma.txt,83
Breaching_the_brain's_defense_.txt,83
Scientists_build_bioreactors_a.txt,83
Long-term_follow-up_after_weig.txt,83
Tai_chi_can_mirror_healthy_ben.txt,83
Coronavirus_and_neurological_d.txt,83
Potential_new_target_to_treat_.txt,83
July_was_Earth's_hottest_month.txt,83
Characteristics_of_older_adult.txt,83
Brain-computer_interface_advan.txt,83
Lifetime_of_knowledge_can_clut.txt,83
Toward_a_safer_permanent_hair_.txt,84
The_science_behind_those_eye-p.txt,84
Misconceptions_about_weather_a.txt,84
Breastfeeding_changes_gene_act.txt,84
African_American_bachelor's_de.txt,84
How_head_injuries_lead_to_seri.txt,84
Socioeconomic_factors_--_not_r.txt,84
"MRI,_hybrid_imaging_outperform.txt",84
Researchers_unlock_cancer-caus.txt,84
Celebrity_Adoption_Of_Charitab.txt,84
Cancer_side-effects:_Sweet_nan.txt,84
Lactic_acid_bacteria_can_exten.txt,84
"Wild_boars,_hunting_dogs_and_h.txt",84
Most_people_consider_becoming_.txt,85
Obscure_protein_is_spotlighted.txt,85
Link_between_sleep_apnea_and_i.txt,85
Vitamin_a_and_a_high-fat_diet_.txt,85
Mu­sic_and_nat­ive_lan­guage_i.txt,85
Having_MS_plus_depression_may_.txt,85
Choice_of_medical_center_impac.txt,85
A_quarter_of_the_world's_popul.txt,85
"Faster,_More_Efficient_Method_.txt",85
Vitamin_E_may_decrease_the_ris.txt,85
Administration_of_steroid_to_e.txt,85
Amateur_drone_videos_could_aid.txt,85
Microbiome_may_hold_key_to_ide.txt,85
Trial_questions_benefits_of_or.txt,85
Does_classroom_indoor_environm.txt,85
What_happens_to_hydraulic_frac.txt,85
"A_rat's_brain,_on_and_off_meth.txt",85
Vitamin_E_may_increase_the_lif.txt,86
How_tiny_machines_become_capab.txt,86
Population_health:_A_rapidly_e.txt,86
New_guidelines_for_treating_th.txt,86
New_mouse_model_of_tau_propaga.txt,86
Does_concussion_recovery_and_s.txt,86
High_fat_foods_can_increase_or.txt,86
Observation_of_quantum_transpo.txt,86
Factors_associated_with_increa.txt,86
In-utero_exposures_associated_.txt,86
Out_of_balance:_Gut_bacterial_.txt,86
Honeybee_hive_sealant_promotes.txt,86
A_versatile_vaccine_that_can_p.txt,86
High_daily_screen_time_linked_.txt,86
Determining_what_binds_to_mucu.txt,86
Constipated?_Study_finds_surpr.txt,86
How_kissing_as_a_risk_factor_m.txt,86
Using_stem_cells_to_grow_new_h.txt,86
Physicists_describe_photons’_c.txt,86
Chronic_Fatigue_Syndrome_Linke.txt,86
Vitamin_B_may_not_reduce_risk_.txt,86
Making_dog_food_more_delectabl.txt,86
The_ecstasy_and_the_agony:_Com.txt,87
Impact_of_methamphetamine_use_.txt,87
Study_suggests_how_to_treat_di.txt,87
Is_rheumatoid_arthritis_two_di.txt,87
Menopause_clinicians_support_n.txt,87
Magnolia_bark_compound_could_s.txt,87
Asexual_reproduction_can_have_.txt,87
Mapping_methane_sources_in_Par.txt,87
Drug_does_not_reduce_digital_u.txt,87
Chest_CT_findings_in_coronavir.txt,87
Trends_in_binge_drinking_among.txt,87
Particles_formed_in_boreal_for.txt,87
Separations_between_earthquake.txt,87
Smoothing_wrinkles_in_mice_--_.txt,87
COPD_and_smoking_associated_wi.txt,87
Preemies_may_have_psychiatric_.txt,87
"Effects_of_alcohol,_methamphet.txt",87
Bird_singing_contests:_A_clash.txt,87
Fat_Transforms_Vitamin_C_From_.txt,87
Gene_therapy_can_restore_visio.txt,87
Small_volcanic_lakes_tapping_g.txt,88
Looking_for_dark_matter_______.txt,88
Dogs_may_not_return_their_owne.txt,88
Roundworm_linked_to_lower_lung.txt,88
How_chikungunya_virus_may_caus.txt,88
PFAS_exposure_may_cause_early_.txt,88
Scientists_identify_protein_th.txt,88
Shark_diversity_unaffected_whe.txt,88
COVID-19:_Small_study_found_no.txt,88
New_salmonella_proteins_discov.txt,88
Human_textiles_to_repair_blood.txt,88
Curiosity_rover_explores_strat.txt,88
Using_VR_training_to_boost_our.txt,88
What_causes_pools_below_waterf.txt,88
New_treatment_for_people_with_.txt,88
Cochlear_implant_as_a_sensor__.txt,88
Moles_on_the_body_largely_infl.txt,88
Expression_of_M_gene_segment_o.txt,88
Benefits_of_early_intervention.txt,88
Early_menstruation_linked_to_i.txt,89
Solar_flare:_Another_M-class_f.txt,89
Half_of_young_adults_with_COVI.txt,89
Arctic_birds_connect_the_world.txt,89
The_impact_of_climate_change_o.txt,89
Benefits_of_cognitive_behavior.txt,89
Music_captivates_listeners_and.txt,89
Being_alone_and_socializing_wi.txt,89
Researchers_promote_usability_.txt,89
Vitamin_A_for_nerve_cells_____.txt,89
Further_doubt_cast_on_virus_li.txt,89
Vitamin_E_May_Decrease_Mortali.txt,89
Nurse_work_environments_linked.txt,89
Scientists_show_how_light_ther.txt,90
Creating_simplicity:_How_music.txt,90
New_method_to_complete_genetic.txt,90
Changing_livestock_in_ancient_.txt,90
Parasites_may_accumulate_in_sp.txt,90
Not_all_prion_strains_interfer.txt,90
Human_Lyme_Borreliosis_and_Puu.txt,90
Cancer_tumors_form_surprising_.txt,90
Promising_results_of_Phase_1_d.txt,90
Cervical_cancer_could_be_elimi.txt,90
Researchers_identify_a_new_app.txt,90
Blood_sodium_levels_may_affect.txt,90
Super_bowl_ads_score_with_popu.txt,90
New_insights_on_how_inflammato.txt,90
California_spotted_owls_benefi.txt,90
New_superhighway_system_discov.txt,90
Solving_a_hairy_forensic_probl.txt,90
Drinking_more_water_reduces_bl.txt,90
Hunting_dark_energy_with_gravi.txt,90
"Relieve_your_stress,_relieve_y.txt",90
Broadly_acting_antibodies_foun.txt,90
Hot_flashes_impair_memory_perf.txt,90
Dark_coating_can_reduce_satell.txt,90
Engineering_The_'Super_Enzyme'.txt,90
Fine-tuning_motivation_in_the_.txt,90
Interpretation_outside_trainin.txt,90
"Hurricanes,_heavy_rains_are_cr.txt",90
Diet_and_familial_hypercholest.txt,91
New_botulinum_neurotoxin_disco.txt,91
Alcohol_consumption_linked_to_.txt,91
Study_finds_genes_role_in_immu.txt,91
New_lunar_map_to_help_guide_fu.txt,91
Emergent_magnetic_monopoles_co.txt,91
New_cancer_vaccine_platform_a_.txt,91
New_ACIP_Adult_Immunization_Sc.txt,91
Placing_cosmological_constrain.txt,91
Study_recommends_six_steps_to_.txt,91
EPO_in_very_preterm_infants_do.txt,91
Performance_test_for_neural_in.txt,91
World_War_II_and_urbanization_.txt,91
MRI_findings_predict_shoulder_.txt,91
Smaller_volumes_in_certain_reg.txt,91
Starting_the_day_off_with_choc.txt,91
"ArtSea_Ink:_A_colorful,_seawee.txt",91
Migraine_in_middle_age_linked_.txt,91
When_cancer_cells_'put_all_the.txt,91
"Hairy,_lab-grown_human_skin_ce.txt",92
Official_naming_of_surface_fea.txt,92
Sleep_apnea_study_finds_male-f.txt,92
New_research_finds_gender_diff.txt,92
Running_research:_Heel-toe_or_.txt,92
New_technique_may_reveal_the_h.txt,92
Bitcoin_crash_could_derail_oth.txt,92
Sun_emits_a_solstice_CME______.txt,92
Inherited_origin_of_prostate_c.txt,92
Call_for_green_burial_corridor.txt,92
Delayed_radio_flares_after_sta.txt,92
Older_surgeons_produce_lower_m.txt,92
Most_close_relatives_of_birds_.txt,92
Potential_treatment_for_Rett_S.txt,92
Saccharin_derivatives_give_can.txt,92
Women_suffer_more_neck_pain_th.txt,92
Coffee_and_tea_drinking_may_be.txt,92
What_and_where_in_the_processi.txt,92
"2013_Tornadoes:_Numbers_Low,_D.txt",92
Home-based_flu_tests_as_accura.txt,92
COVID-19_may_cause_deadly_bloo.txt,92
Promising_therapeutic_agent_ag.txt,92
Development_of_a_displacement_.txt,93
Half_of_Ebola_outbreaks_undete.txt,93
Restless_nights:_Shelter_house.txt,93
Overnight_brain_stimulation_im.txt,93
Many_with_migraines_have_vitam.txt,93
New_fabric_could_help_keep_you.txt,93
People_with_multiple_sclerosis.txt,93
US_and_Mexican_controls_on_pre.txt,93
Risk_of_overactive_bladder_ass.txt,93
Luminescent_wood_could_light_u.txt,93
Study_assesses_mood_disorders_.txt,93
Consuming_extra_calories_can_h.txt,93
Discovery_of_novel_mechanisms_.txt,93
Religiosity_does_not_increase_.txt,93
Patients_with_COVID-19_may_dev.txt,93
Can_exercise_help_reduce_metha.txt,93
Inhaler_treatment_for_lung_can.txt,93
Smoking_and_alcohol:_Double_tr.txt,93
Heart_Risks_From_Vioxx_Happen_.txt,93
Laser-ranged_satellite_measure.txt,93
AGA_recommends_early_use_of_bi.txt,93
Heightened_scents:_Do_ambient_.txt,93
Iron_deficiency_anemia_associa.txt,94
Dermatology_scale_validates_qu.txt,94
New_Study_Re-evaluates_Cardiov.txt,94
Virtual_imaging_trials_optimiz.txt,94
Patients_react_better_when_doc.txt,94
NASA_sees_active_region_on_the.txt,94
More_sleep_may_help_teens_with.txt,94
Major_deficits_in_addressing_m.txt,94
A_high-tech_textile_to_stay_co.txt,94
Experiment_gives_rise_to_socia.txt,94
Breakthrough_with_cancer_vacci.txt,94
Deep_neural_network_to_find_hi.txt,94
Adding_Steroid_Drug_To_MS_Trea.txt,94
How_HIV_infection_may_contribu.txt,94
Engaging_undergrads_remotely_w.txt,94
What_are_ideal_blood_sugar_lev.txt,94
Virus_hijacks_cell's_transport.txt,94
Brain_structure_reveals_abilit.txt,94
Labeling_key_to_success_of_sof.txt,94
Impacts_of_climate_warming_on_.txt,94
Sanitation_access_linked_to_ch.txt,94
Clues_to_the_origin_of_Hunting.txt,94
Mouse_sperm_generated_in_rats_.txt,95
Innovative_catalysts__________.txt,95
Blocking_notch_pathway_leads_t.txt,95
Opioid_tapering_may_improve_ou.txt,95
Omics_data_suggests_larger_eff.txt,95
First_'pathoconnectome'_could_.txt,95
Repurposed_ALS_drug_shows_prom.txt,95
"Placing_Ads:_Location,_Locatio.txt",95
New_imaging_tool_visualizes_ce.txt,95
Possible_blood-clotting_mechan.txt,95
How_chronic_stress_accelerates.txt,95
Algorithms_improve_how_we_prot.txt,95
Extra_Vitamin_D_In_Early_Child.txt,95
Undiagnosed_endometriosis_comp.txt,95
Balanced_diet_can_mitigate_neg.txt,95
College_football_players:_Unde.txt,95
Peer-to-peer_accommodation_ser.txt,95
Lenalidomide_maintenance_thera.txt,95
Understanding_the_impact_of_de.txt,95
Worm_study_sparks_hope_for_slo.txt,95
Childhood_vaccination_exemptio.txt,95
More_evidence_arthritis_pain_r.txt,95
New_report_details_experiences.txt,95
Measuring_tiny_quantum_effects.txt,95
"Wearable,_portable_invention_o.txt",95
The_value_of_a_dollar?_New_res.txt,95
Alzheimer-type_brain_pathology.txt,95
Immigrant_kids_in_U_S__deliber.txt,95
Closing_medical_marijuana_disp.txt,95
Spintronics:_Improving_electro.txt,95
Body_clock_link_to_steroids_di.txt,95
Technology_uses_'single'_appro.txt,95
Men_with_high_levels_of_body_f.txt,96
Predicting_the_next_pandemic_v.txt,96
"Melatonin_exacerbates_asthma,_.txt",96
Monty_Python's_silly_walk:_A_g.txt,96
Differences_in_airway_size_dev.txt,96
Zinc_deficiency_may_play_a_rol.txt,96
Are_pet_owners_abusing_animals.txt,96
New_textile_could_keep_you_coo.txt,96
Kids_health_outcomes_have_more.txt,96
Chronic_Fatigue_Patients_Benef.txt,96
Raising_the_steaks:_First_3D-b.txt,96
Students_taught_by_highly_qual.txt,96
New_drug_leads_could_battle_br.txt,96
The_mountains_of_Pluto_are_sno.txt,96
Multiple_sclerosis:_Review_of_.txt,96
Background_music_can_impair_pe.txt,96
"Amid_ADHD_spike,_doctors_urge_.txt",96
Idiopathic_pulmonary_fibrosis_.txt,96
Inflammatory_disease_trigger_r.txt,96
Statin_use_affects_prostate_ca.txt,96
Human_olfactory_mucosa_cell_mo.txt,96
Chronic_inflammatory_liver_dis.txt,96
Aerial_spraying_to_combat_mosq.txt,96
Vitamin_D_deficiency_does_not_.txt,96
Protecting_probiotics_from_the.txt,96
Vitamin_E_may_prevent_pneumoni.txt,96
Study_uncovers_increasing_glob.txt,96
Unraveling_mechanisms_of_ventr.txt,96
Don't_overdo_omega-6_fat_consu.txt,96
First_time_genome_editing_made.txt,96
Words_matter:_Language_can_red.txt,96
New_compounds_inhibit_prion_in.txt,96
Painkiller_Helps_Against_Child.txt,97
Fragrance-releasing_fabric_cou.txt,97
Tracking_down_the_origin_of_ch.txt,97
Prion_disease_detected_soon_af.txt,97
Performance-enhancing_drugs_ma.txt,97
Tropical_cyclones_moving_faste.txt,97
Improved_estimates_of_Brazilia.txt,97
Chronic_Fatigue_Syndrome_Impai.txt,97
Allergic_stimulation_activates.txt,97
The_physician's_white_coat:_Ic.txt,97
Exercise_can_help_beat_cocaine.txt,97
Cilia_structure_plays_a_major_.txt,97
Does_the_COVID-19_cytokine_sto.txt,97
Legionellosis:_A_novel_mechani.txt,97
More_EVs_could_reduce_CO2_emis.txt,97
Stock_market_microstructures:_.txt,97
Scientists_use_NASA_satellite_.txt,97
Using_virtual_reality_to_help_.txt,97
In_the_spotlight:_X_chromosome.txt,97
'Hydrogel-based_flexible_brain.txt,97
Researchers_perform_thousands_.txt,97
Researcher_discovers_key_gene_.txt,97
Consumers_value_difficult_deci.txt,97
Female_finches_are_picky_but_p.txt,97
New_role_for_sensory_signals_i.txt,97
Interactive_avatar_boosts_perf.txt,97
Treatment_associated_with_chan.txt,97
First_all-human_mouse_model_of.txt,97
Students_who_repeat_a_grade_ex.txt,97
Bacterial_toxin_is_found_in_pa.txt,97
Physical_activity_and_sleep_in.txt,97
Women's_heart_attack_symptoms_.txt,97
Drivers_don't_ignore_a_ringing.txt,98
Can_estimates_from_forensic_ha.txt,98
Scientists_uncover_possible_th.txt,98
Smart_sensor_equipped_chair_ma.txt,98
Japanese_encephalitis_vaccine_.txt,98
Scientists_discover_pathway_th.txt,98
Unique_underpinnings_revealed_.txt,98
Diabetes_debate:_Triglycerides.txt,98
Overlooked_lymph_nodes_in_rib_.txt,98
Why_the_Omicron_variant_causes.txt,98
Photonic_chip_is_key_to_'nurtu.txt,98
Family_support_reduces_chance_.txt,98
Finding_a_killer_electron_hot_.txt,98
Study_reveals_characteristics_.txt,98
Zika_virus_detected_in_newborn.txt,98
Migraine_can_be_treated_withou.txt,98
Obesity_and_hypertension:_Rese.txt,98
Fighting_blood_diseases_with_a.txt,98
Illness-and_death-related_mess.txt,98
Mechanism_behind_bowel_paralys.txt,98
Physical_activity_protects_aga.txt,98
New_insight_into_formation_of_.txt,98
Are_most_patients_with_fibromy.txt,98
Popular_pain_relievers_may_red.txt,98
Older_than_expected:_Teeth_rev.txt,98
Do_tanning_salons_comply_with_.txt,98
Test_detects_protein_associate.txt,98
Mesothelioma?_Scientists_quant.txt,98
Hubble_spots_auroras_on_Uranus.txt,98
Cross-species_prion_adaptation.txt,99
Stroke_drug_kills_bacteria_tha.txt,99
Music-induced_emotions_can_be_.txt,99
High-salt_diet_and_ulcer_bug_c.txt,99
sickle_cell_disease:_Addressin.txt,99
Miranda:_An_icy_moon_deformed_.txt,99
Ozone_breaks_down_THC_deposite.txt,99
Why_does_so_much_of_nature_rel.txt,99
Review_finds_almost_20_percent.txt,99
New_combination_therapy_offers.txt,99
Objective_analysis_of_stress_i.txt,99
Investigational_personalized_c.txt,99
Surge_protector:_A_novel_appro.txt,99
Flexible_tail_of_the_prion_pro.txt,99
Understanding_the_Berlin_patie.txt,99
Global_connections_between_El_.txt,99
Artificial_sweetener_could_som.txt,99
Exploring_mechanisms_of_resist.txt,99
Men_and_younger_adults_less_ac.txt,99
Adults_with_undiagnosed_Celiac.txt,99
Gene_variants_raise_risk_of_mi.txt,99
Madariaga_virus_spreads_to_Hai.txt,99
A_new_avenue_for_fighting_drug.txt,99
Bone_experts_offer_how-to_vide.txt,99
More_efficient_system_to_repro.txt,99
The_world's_oldest_crater_from.txt,99
Ecstasy_harms_memory_with_one_.txt,99
Liver_surgery_success_boosted_.txt,100
New_drug_form_may_help_treat_o.txt,100
Link_between_common_'harmless'.txt,100
Ethnic_minorities_are_'silent_.txt,100
Milk_protein_could_help_boost_.txt,100
New_finding_of_the_expression_.txt,100
A_reversible_male_contraceptiv.txt,100
Music-based_biofeedback_shows_.txt,100
Maggot_analysis_goes_molecular.txt,100
Potential_impact_of_hydraulic_.txt,100
Taking_the_'killer'_out_of_nat.txt,100
New_sunspots_producing_space_w.txt,100
Physical_activity_helps_curb_l.txt,100
Lenalidomide_may_delay_onset_o.txt,100
Factor_that_doubles_the_risk_o.txt,100
